Contribution Date	Contribution Type	Type of contributor	Last Name	First Name	Initial	Street #	Street Name	Suite # / Apt	City	Province	Postal Code	Estimated # of Contributors	Monetary Amount Given	Contribution Per CEA	Advantage Received Per ITA	Advantage Description
19/04/2019	Monetary	Individual	ABC69	TEST69		69	ROAD69	80	GATINEAU	QC	J7N 6B26		311	311		
20/04/2019	Monetary	Individual	ABC70	TEST70		70	ROAD70	81	GATINEAU	QC	J7N 6B27		312	312		
21/04/2019	Monetary	Individual	ABC71	TEST71		71	ROAD71	82	GATINEAU	QC	J7N 6B28		313	313		
22/04/2019	Monetary	Individual	ABC72	TEST72		72	ROAD72	83	GATINEAU	QC	J7N 6B29		314	314		
23/04/2019	Monetary	Individual	ABC73	TEST73		73	ROAD73	84	GATINEAU	QC	J7N 6B30		315	315		
24/04/2019	Monetary	Individual	ABC74	TEST74		74	ROAD74	85	GATINEAU	QC	J7N 6B31		316	316		
25/04/2019	Monetary	Individual	ABC75	TEST75		75	ROAD75	86	GATINEAU	QC	J7N 6B32		317	317		
26/04/2019	Monetary	Individual	ABC76	TEST76		76	ROAD76	87	GATINEAU	QC	J7N 6B33		318	318		
27/04/2019	Monetary	Individual	ABC77	TEST77		77	ROAD77	88	GATINEAU	QC	J7N 6B34		319	319		
28/04/2019	Monetary	Individual	ABC78	TEST78		78	ROAD78	89	GATINEAU	QC	J7N 6B35		320	320		
29/04/2019	Monetary	Individual	ABC79	TEST79		79	ROAD79	90	GATINEAU	QC	J7N 6B36		321	321		
30/04/2019	Monetary	Individual	ABC80	TEST80		80	ROAD80	91	GATINEAU	QC	J7N 6B37		322	322		
01/05/2019	Monetary	Individual	ABC81	TEST81		81	ROAD81	92	GATINEAU	QC	J7N 6B38		323	323		
02/05/2019	Monetary	Individual	ABC82	TEST82		82	ROAD82	93	GATINEAU	QC	J7N 6B39		324	324		
03/05/2019	Monetary	Individual	ABC83	TEST83		83	ROAD83	94	GATINEAU	QC	J7N 6B40		325	325		
04/05/2019	Monetary	Individual	ABC84	TEST84		84	ROAD84	95	GATINEAU	QC	J7N 6B41		326	326		
05/05/2019	Monetary	Individual	ABC85	TEST85		85	ROAD85	96	GATINEAU	QC	J7N 6B42		327	327		
06/05/2019	Monetary	Individual	ABC86	TEST86		86	ROAD86	97	GATINEAU	QC	J7N 6B43		328	328		
07/05/2019	Monetary	Individual	ABC87	TEST87		87	ROAD87	98	GATINEAU	QC	J7N 6B44		329	329		
08/05/2019	Monetary	Individual	ABC88	TEST88		88	ROAD88	99	GATINEAU	QC	J7N 6B45		330	330		
09/05/2019	Monetary	Individual	ABC89	TEST89		89	ROAD89	100	GATINEAU	QC	J7N 6B46		331	331		
10/05/2019	Monetary	Individual	ABC90	TEST90		90	ROAD90	101	GATINEAU	QC	J7N 6B47		332	332		
11/05/2019	Monetary	Individual	ABC91	TEST91		91	ROAD91	102	GATINEAU	QC	J7N 6B48		333	333		
12/05/2019	Monetary	Individual	ABC92	TEST92		92	ROAD92	103	GATINEAU	QC	J7N 6B49		334	334		
13/05/2019	Monetary	Individual	ABC93	TEST93		93	ROAD93	104	GATINEAU	QC	J7N 6B50		335	335		
14/05/2019	Monetary	Individual	ABC94	TEST94		94	ROAD94	105	GATINEAU	QC	J7N 6B51		336	336		
15/05/2019	Monetary	Individual	ABC95	TEST95		95	ROAD95	106	GATINEAU	QC	J7N 6B52		337	337		
16/05/2019	Monetary	Individual	ABC96	TEST96		96	ROAD96	107	GATINEAU	QC	J7N 6B53		338	338		
17/05/2019	Monetary	Individual	ABC97	TEST97		97	ROAD97	108	GATINEAU	QC	J7N 6B54		339	339		
18/05/2019	Monetary	Individual	ABC98	TEST98		98	ROAD98	109	GATINEAU	QC	J7N 6B55		340	340		
19/05/2019	Monetary	Individual	ABC99	TEST99		99	ROAD99	110	GATINEAU	QC	J7N 6B56		341	341		
20/05/2019	Monetary	Individual	ABC100	TEST100		100	ROAD100	111	GATINEAU	QC	J7N 6B57		342	342		
21/05/2019	Monetary	Individual	ABC101	TEST101		101	ROAD101	112	GATINEAU	QC	J7N 6B58		343	343		
22/05/2019	Monetary	Individual	ABC102	TEST102		102	ROAD102	113	GATINEAU	QC	J7N 6B59		344	344		
23/05/2019	Monetary	Individual	ABC103	TEST103		103	ROAD103	114	GATINEAU	QC	J7N 6B60		345	345		
24/05/2019	Monetary	Individual	ABC104	TEST104		104	ROAD104	115	GATINEAU	QC	J7N 6B61		346	346		
25/05/2019	Monetary	Individual	ABC105	TEST105		105	ROAD105	116	GATINEAU	QC	J7N 6B62		347	347		
26/05/2019	Monetary	Individual	ABC106	TEST106		106	ROAD106	117	VAL-DES-MONTS	QC	J7N 6B63		348	348		
27/05/2019	Monetary	Individual	ABC107	TEST107		107	ROAD107	118	VAL-DES-MONTS	QC	J7N 6B64		349	349		
28/05/2019	Monetary	Individual	ABC108	TEST108		108	ROAD108	119	VAL-DES-MONTS	QC	J7N 6B65		350	350		
29/05/2019	Monetary	Individual	ABC109	TEST109		109	ROAD109	120	VAL-DES-MONTS	QC	J7N 6B66		351	351		
30/05/2019	Monetary	Individual	ABC110	TEST110		110	ROAD110	121	VAL-DES-MONTS	QC	J7N 6B67		352	352		
31/05/2019	Monetary	Individual	ABC111	TEST111		111	ROAD111	122	VAL-DES-MONTS	QC	J7N 6B68		353	353		
01/06/2019	Monetary	Individual	ABC112	TEST112		112	ROAD112	123	VAL-DES-MONTS	QC	J7N 6B69		354	354		
02/06/2019	Monetary	Individual	ABC113	TEST113		113	ROAD113	124	VAL-DES-MONTS	QC	J7N 6B70		355	355		
03/06/2019	Monetary	Individual	ABC114	TEST114		114	ROAD114	125	VAL-DES-MONTS	QC	J7N 6B71		356	356		
04/06/2019	Monetary	Individual	ABC115	TEST115		115	ROAD115	126	VAL-DES-MONTS	QC	J7N 6B72		357	357		
05/06/2019	Monetary	Individual	ABC116	TEST116		116	ROAD116	127	VAL-DES-MONTS	QC	J7N 6B73		358	358		
06/06/2019	Monetary	Individual	ABC117	TEST117		117	ROAD117	128	VAL-DES-MONTS	QC	J7N 6B74		359	359		
07/06/2019	Monetary	Individual	ABC118	TEST118		118	ROAD118	129	VAL-DES-MONTS	QC	J7N 6B75		360	360		
08/06/2019	Monetary	Individual	ABC119	TEST119		119	ROAD119	130	VAL-DES-MONTS	QC	J7N 6B76		361	361		
09/06/2019	Monetary	Individual	ABC120	TEST120		120	ROAD120	131	VAL-DES-MONTS	QC	J7N 6B77		362	362		
10/06/2019	Monetary	Individual	ABC121	TEST121		121	ROAD121	132	VAL-DES-MONTS	QC	J7N 6B78		363	363		
11/06/2019	Monetary	Individual	ABC122	TEST122		122	ROAD122	133	VAL-DES-MONTS	QC	J7N 6B79		364	364		
12/06/2019	Monetary	Individual	ABC123	TEST123		123	ROAD123	134	VAL-DES-MONTS	QC	J7N 6B80		365	365		
13/06/2019	Monetary	Individual	ABC124	TEST124		124	ROAD124	135	VAL-DES-MONTS	QC	J7N 6B81		366	366		
14/06/2019	Monetary	Individual	ABC125	TEST125		125	ROAD125	136	VAL-DES-MONTS	QC	J7N 6B82		367	367		
15/06/2019	Monetary	Individual	ABC126	TEST126		126	ROAD126	137	VAL-DES-MONTS	QC	J7N 6B83		368	368		
16/06/2019	Monetary	Individual	ABC127	TEST127		127	ROAD127	138	VAL-DES-MONTS	QC	J7N 6B84		369	369		
17/06/2019	Monetary	Individual	ABC128	TEST128		128	ROAD128	139	VAL-DES-MONTS	QC	J7N 6B85		370	370		
18/06/2019	Monetary	Individual	ABC129	TEST129		129	ROAD129	140	VAL-DES-MONTS	QC	H7N 5B6		371	371		
19/06/2019	Monetary	Individual	ABC130	TEST130		130	ROAD130	141	VAL-DES-MONTS	QC	H7N 5B7		372	372		
20/06/2019	Monetary	Individual	ABC131	TEST131		131	ROAD131	142	VAL-DES-MONTS	QC	H7N 5B8		373	373		
21/06/2019	Monetary	Individual	ABC132	TEST132		132	ROAD132	143	VAL-DES-MONTS	QC	H7N 5B9		374	374		
22/06/2019	Monetary	Individual	ABC133	TEST133		133	ROAD133	144	VAL-DES-MONTS	QC	H7N 5B10		375	375		
23/06/2019	Monetary	Individual	ABC134	TEST134		134	ROAD134	145	VAL-DES-MONTS	QC	H7N 5B11		376	376		
24/06/2019	Monetary	Individual	ABC135	TEST135		135	ROAD135	146	VAL-DES-MONTS	QC	H7N 5B12		377	377		
25/06/2019	Monetary	Individual	ABC136	TEST136		136	ROAD136	147	VAL-DES-MONTS	QC	H7N 5B13		378	378		
26/06/2019	Monetary	Individual	ABC137	TEST137		137	ROAD137	148	VAL-DES-MONTS	QC	H7N 5B14		379	379		
27/06/2019	Monetary	Individual	ABC138	TEST138		138	ROAD138	149	VAL-DES-MONTS	QC	H7N 5B15		380	380		
28/06/2019	Monetary	Individual	ABC139	TEST139		139	ROAD139	150	VAL-DES-MONTS	QC	H7N 5B16		381	381		
29/06/2019	Monetary	Individual	ABC140	TEST140		140	ROAD140	151	VAL-DES-MONTS	QC	H7N 5B17		382	382		
30/06/2019	Monetary	Individual	ABC141	TEST141		141	ROAD141	152	VAL-DES-MONTS	QC	H7N 5B18		383	383		
01/07/2019	Monetary	Individual	ABC142	TEST142		142	ROAD142	153	VAL-DES-MONTS	QC	H7N 5B19		384	384		
02/07/2019	Monetary	Individual	ABC143	TEST143		143	ROAD143	154	VAL-DES-MONTS	QC	H7N 5B20		385	385		
03/07/2019	Monetary	Individual	ABC144	TEST144		144	ROAD144	155	VAL-DES-MONTS	QC	H7N 5B21		386	386		
04/07/2019	Monetary	Individual	ABC145	TEST145		145	ROAD145	156	VAL-DES-MONTS	QC	H7N 5B22		387	387		
05/07/2019	Monetary	Individual	ABC146	TEST146		146	ROAD146	157	VAL-DES-MONTS	QC	H7N 5B23		388	388		
06/07/2019	Monetary	Individual	ABC147	TEST147		147	ROAD147	158	VAL-DES-MONTS	QC	H7N 5B24		389	389		
07/07/2019	Monetary	Individual	ABC148	TEST148		148	ROAD148	159	VAL-DES-MONTS	QC	H7N 5B25		390	390		
08/07/2019	Monetary	Individual	ABC149	TEST149		149	ROAD149	160	VAL-DES-MONTS	QC	H7N 5B26		391	391		
09/07/2019	Monetary	Individual	ABC150	TEST150		150	ROAD150	161	VAL-DES-MONTS	QC	H7N 5B27		392	392		
10/07/2019	Monetary	Individual	ABC151	TEST151		151	ROAD151	162	VAL-DES-MONTS	QC	H7N 5B28		393	393		
11/07/2019	Monetary	Individual	ABC152	TEST152		152	ROAD152	163	VAL-DES-MONTS	QC	H7N 5B29		394	394		
12/07/2019	Monetary	Individual	ABC153	TEST153		153	ROAD153	164	VAL-DES-MONTS	QC	H7N 5B30		395	395		
13/07/2019	Monetary	Individual	ABC154	TEST154		154	ROAD154	165	VAL-DES-MONTS	QC	H7N 5B31		396	396		
14/07/2019	Monetary	Individual	ABC155	TEST155		155	ROAD155	166	VAL-DES-MONTS	QC	H7N 5B32		397	397		
15/07/2019	Monetary	Individual	ABC156	TEST156		156	ROAD156	167	VAL-DES-MONTS	QC	H7N 5B33		398	398		
16/07/2019	Monetary	Individual	ABC157	TEST157		157	ROAD157	168	VAL-DES-MONTS	QC	H7N 5B34		399	399		
17/07/2019	Monetary	Individual	ABC158	TEST158		158	ROAD158	169	VAL-DES-MONTS	QC	H7N 5B35		400	400		
18/07/2019	Monetary	Individual	ABC159	TEST159		159	ROAD159	170	VAL-DES-MONTS	QC	H7N 5B36		401	401		
19/07/2019	Monetary	Individual	ABC160	TEST160		160	ROAD160	171	VAL-DES-MONTS	QC	H7N 5B37		402	402		
20/07/2019	Monetary	Individual	ABC161	TEST161		161	ROAD161	172	VAL-DES-MONTS	QC	H7N 5B38		403	403		
21/07/2019	Monetary	Individual	ABC162	TEST162		162	ROAD162	173	VAL-DES-MONTS	QC	H7N 5B39		404	404		
22/07/2019	Monetary	Individual	ABC163	TEST163		163	ROAD163	174	VAL-DES-MONTS	QC	H7N 5B40		405	405		
23/07/2019	Monetary	Individual	ABC164	TEST164		164	ROAD164	175	VAL-DES-MONTS	QC	H7N 5B41		406	406		
24/07/2019	Monetary	Individual	ABC165	TEST165		165	ROAD165	176	VAL-DES-MONTS	QC	H7N 5B42		407	407		
25/07/2019	Monetary	Individual	ABC166	TEST166		166	ROAD166	177	VAL-DES-MONTS	QC	H7N 5B43		408	408		
26/07/2019	Monetary	Individual	ABC167	TEST167		167	ROAD167	178	VAL-DES-MONTS	QC	H7N 5B44		409	409		
27/07/2019	Monetary	Individual	ABC168	TEST168		168	ROAD168	179	VAL-DES-MONTS	QC	H7N 5B45		410	410		
28/07/2019	Monetary	Individual	ABC169	TEST169		169	ROAD169	180	VAL-DES-MONTS	QC	H7N 5B46		411	411		
29/07/2019	Monetary	Individual	ABC170	TEST170		170	ROAD170	181	VAL-DES-MONTS	QC	H7N 5B47		412	412		
30/07/2019	Monetary	Individual	ABC171	TEST171		171	ROAD171	182	VAL-DES-MONTS	QC	H7N 5B48		413	413		
